Document_starts,Text,Gold_BSC_seq_integrateIF,Gold_IBCC
1,There,1,1
0,are,1,1
0,people,1,1
0,who,1,1
0,think,1,1
0,it,1,1
0,should,1,1
0,be,1,1
0,legal,1,1
0,",",1,1
0,and,1,1
0,the,2,2
0,government,0,0
0,telling,0,0
0,them,0,0
0,what,0,0
0,they,0,0
0,may,0,0
0,and,0,0
0,may,0,0
0,not,0,0
0,consume,0,0
0,at,0,0
0,home,0,0
0,is,0,0
0,an,0,0
0,invasion,0,0
0,of,0,0
0,personal,0,0
0,privacy,0,0
0,.,1,1
0,.,1,1
0,.,1,1
1,Officials,1,1
0,say,1,1
0,the,1,1
0,uniforms,2,2
0,are,0,0
0,expected,0,0
0,to,0,0
0,build,0,0
0,school,0,0
0,identity,0,0
0,",",0,0
0,help,0,0
0,improve,0,0
0,student,0,0
0,self,0,0
0,-,0,0
0,esteem,0,0
0,and,0,0
0,academic,0,0
0,performance,0,0
0,and,0,0
0,eliminate,0,0
0,pressures,0,0
0,of,0,0
0,competition,0,0
0,among,0,0
0,students,0,0
0,over,0,0
0,how,0,0
0,they,0,0
0,dress,1,0
0,.,1,1
1,This,1,1
0,might,1,1
0,be,1,1
0,offset,1,1
0,by,1,1
0,fewer,1,1
0,government,1,1
0,benefits,1,1
0,paid,1,1
0,",",1,1
0,as,1,1
0,some,2,2
0,workers,0,0
0,with,0,0
0,higher,0,0
0,incomes,0,0
0,would,0,0
0,receive,0,0
0,fewer,0,0
0,government,0,0
0,transfer,0,0
0,payments,0,0
0,.,1,1
1,A,1,1
0,The,1,1
0,positives,1,1
0,are,1,1
0,the,1,1
0,students,1,1
0,in,1,1
0,our,1,1
0,community,1,1
0,come,1,1
0,from,1,1
0,a,1,1
0,disadvantaged,1,1
0,background,1,1
0,",",1,1
0,and,1,1
0,the,1,1
0,are,1,1
0,small,1,1
0,pockets,1,1
0,of,1,1
0,students,1,1
0,that,1,1
0,come,1,1
0,from,1,1
0,a,1,1
0,wealthier,1,1
0,background,1,1
0,",",1,1
0,so,1,1
0,the,2,2
0,uniform,0,0
0,creates,0,0
0,equality,0,0
0,.,1,1
1,The,4,3
0,commercial,3,4
0,interest,3,4
0,is,3,4
0,in,3,4
0,maximizing,3,4
0,revenues,3,4
0,and,3,4
0,profit,3,4
0,",",3,4
0,which,3,4
0,means,3,4
0,creating,3,4
0,and,3,4
0,serving,3,4
0,a,3,4
0,market,3,4
0,of,3,4
0,people,3,4
0,with,3,4
0,substance,3,4
0,abuse,3,4
0,problems,3,4
0,.,1,1
1,This,1,1
0,enables,1,1
0,the,1,1
0,minimum,1,1
0,wage,1,1
0,system,1,1
0,to,1,1
0,avoid,1,1
0,the,1,1
0,danger,1,1
0,of,1,1
0,over,1,1
0,-,1,1
0,pricing,1,1
0,labor,1,1
0,",",1,1
0,while,1,1
0,still,1,1
0,retaining,1,1
0,the,1,1
0,demand,1,1
0,side,1,1
0,benefits,1,1
0,a,1,1
0,minimum,1,1
0,wage,1,1
0,confers,1,1
0,by,1,1
0,improving,1,1
0,income,1,1
0,distribution,1,1
0,and,1,1
0,helping,1,1
0,tie,1,1
0,wages,1,1
0,to,1,1
0,productivity,1,1
0,growth,1,1
0,.,1,1
1,Nobody,1,1
0,wants,1,1
0,crime,1,1
0,rates,1,1
0,to,1,1
0,increase,1,1
0,so,1,1
0,the,2,2
0,death,0,0
0,penalty,0,0
0,is,0,0
0,a,0,0
0,great,0,0
0,solution,0,0
0,for,0,0
0,the,0,0
0,crime,0,0
0,rates,0,0
0,to,0,0
0,lower,0,0
0,.,1,1
1,Inclusion,1,1
0,of,1,1
0,abortion,1,1
0,providers,1,1
0,",",1,1
0,abortion,1,1
0,clinics,1,1
0,",",1,1
0,abortion,1,1
0,doctors,1,1
0,on,1,1
0,our,1,1
0,directory,1,1
0,does,1,1
0,not,1,1
0,imply,1,1
0,endorsement,1,1
0,",",1,1
0,nor,1,1
0,does,1,1
0,exclusion,1,1
0,imply,1,1
0,disapproval,1,1
0,.,1,1
1,In,1,1
0,over,1,1
0,50,1,1
0,years,1,1
